"recipient_iso3","recipient","total_us_recu","hum_us_recu","food_us_recu"
"AGO","Angola",1038.819304,619.414476,419.404828
"BDI","Burundi",1286.282448,998.4153,287.867148
"BEN","Benin",294.208777,12.572769,281.636008
"BFA","Burkina Faso",1525.625088,529.908037,995.717051
"BWA","Botswana",133.23781,0.322505,132.915305
"CAF","Central African Republic",1217.835681,1146.818831,71.01685
"CIV","Côte d’Ivoire",420.138601,162.795609,257.342992
"CMR","Cameroon",637.933795,528.751474,109.182321
"COD","Congo - Kinshasa",7225.157448,5931.286535,1293.870913
"COG","Congo - Brazzaville",182.060089,89.889489,92.1706
"COM","Comoros",10.454104,1.141422,9.312682
"CPV","Cape Verde",191.382892,0.344461,191.038431
"DJI","Djibouti",149.80106,114.890761,34.910299
"DZA","Algeria",140.672946,107.187287,33.485659
"EGY","Egypt",11497.31956,196.306129,11301.013431
"ERI","Eritrea",653.181516,455.501738,197.679778
"ETH","Ethiopia",15997.359855,11815.507939,4181.851916
"GAB","Gabon",0.628996,0.277126,0.35187
"GHA","Ghana",1026.928591,15.632914,1011.295677
"GIN","Guinea",657.855175,237.090278,420.764897
"GMB","Gambia",166.563402,24.514537,142.048865
"GNB","Guinea-Bissau",118.175066,6.463036,111.71203
"GNQ","Equatorial Guinea",18.005861,0.155334,17.850527
"KEN","Kenya",4488.476408,3447.401036,1041.075372
"LBR","Liberia",1706.288391,1010.480938,695.807453
"LBY","Libya",447.05087,447.05087,NA
"LSO","Lesotho",332.090545,52.121136,279.969409
"MAR","Morocco",1944.35127,2.409765,1941.941505
"MDG","Madagascar",1340.221416,434.0283,906.193116
"MLI","Mali",1302.510693,941.810962,360.699731
"MOZ","Mozambique",2432.743672,685.573191,1747.170481
"MRT","Mauritania",669.886882,270.956336,398.930546
"MUS","Mauritius",96.626341,0.473389,96.152952
"MWI","Malawi",897.869267,403.139856,494.729411
"NAM","Namibia",22.584768,10.956985,11.627783
"NER","Niger",1885.468037,1307.844019,577.624018
"NGA","Nigeria",2744.902747,2657.4383,87.464447
"RWA","Rwanda",869.037535,391.665487,477.372048
"SDN","Sudan",13992.425617,11715.361236,2277.064381
"SEN","Senegal",681.267356,74.727861,606.539495
"SLE","Sierra Leone",936.352915,453.150765,483.20215
"SOM","Somalia",7074.630709,6072.982969,1001.64774
"SSD","South Sudan",7494.888978,7031.930093,462.958885
"STP","São Tomé & Príncipe",8.849346,NA,8.849346
"SWZ","Eswatini",42.104221,25.679091,16.42513
"SYC","Seychelles",7.216683,0.216242,7.000441
"TCD","Chad",2401.110993,2090.599962,310.511031
"TGO","Togo",146.061458,6.308313,139.753145
"TUN","Tunisia",883.383273,5.869944,877.513329
"TZA","Tanzania",1089.482968,481.657578,607.82539
"UGA","Uganda",2212.372545,1596.894183,615.478362
"ZAF","South Africa",86.688287,50.135145,36.553142
"ZMB","Zambia",637.463256,68.027008,569.436248
"ZWE","Zimbabwe",2180.517041,1658.427406,522.089635
